Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Groundnut,2012,Kharif,Uttar Pradesh,6558.227851073068,27482.462744794197,1855.5988035292887,792.6923769506889,112.34956738185778,4.190531858434511
Soybean,2013,Whole Year,Andhra Pradesh,9124.638052396967,37906.83163075426,622.7349906330754,593.5216819921083,131.3319334253946,4.154338113257704
Cotton,2016,Whole Year,Tamil Nadu,3856.509330121419,9091.27948758208,1502.9113884002459,728.732276727871,129.55360571104237,2.3573855809382542
Groundnut,2022,Kharif,Tamil Nadu,8397.512003493073,24579.65112785601,521.1219282573178,444.47259178683885,144.5430188443684,2.9270158968074984
Maize,2012,Kharif,Andhra Pradesh,3200.295314335572,15863.327465702863,1444.8628285404438,109.98324417204324,131.6541689198806,4.95683238813738
Barley,2018,Summer,Karnataka,5744.022586318298,19696.83400573455,1327.2987339958904,397.91381421792283,137.43402563055884,3.429101071547053
Cotton,2017,Kharif,West Bengal,6519.401741870745,27799.82895664604,1717.7999301351015,647.3217096308284,147.91994972423166,4.2641687162952575
Cotton,2013,Summer,Uttar Pradesh,6812.15087183306,18831.45424749096,1297.4937092967189,303.13276342309877,163.72885363691026,2.764391834795589
Groundnut,2022,Summer,Punjab,8837.238213197046,25315.723828547016,1028.9248995892062,719.0239002696383,86.58044415997078,2.8646646404463674
Wheat,2010,Winter,Tamil Nadu,2422.7604433621927,8554.53679503324,864.1263069923399,814.9609089027505,151.70845700950986,3.5309049305599762
Maize,2010,Whole Year,Madhya Pradesh,2697.4588943608496,14854.424169084785,627.8746126731095,508.84029852900323,29.038714239252837,5.506821327338325
Groundnut,2010,Whole Year,Rajasthan,7070.005833776294,21026.38970353432,1301.919011444647,888.1491682622508,176.47574512589043,2.9740272070332257
Maize,2010,Whole Year,Karnataka,1854.218743591977,7801.450851112885,1832.4828899728527,869.3349081122061,65.10841850274645,4.207405883515113
Maize,2017,Winter,West Bengal,4696.277009143208,20937.719426275995,1272.1167409335342,890.2521575126503,86.6574596765839,4.458365506445261
Barley,2012,Summer,Andhra Pradesh,298.3404023644299,925.5996519511534,1608.6542861988385,694.9333293911515,162.6859784049266,3.102495151898707
Cotton,2015,Summer,Gujarat,1495.6954362021297,5075.831886510082,947.6524073263633,374.3100997062219,131.02753723729109,3.3936266459424624
Soybean,2012,Kharif,Punjab,6820.579211785728,19402.549201008504,1172.1962898121515,533.1261541344147,68.63931807172195,2.8447069667458096
