Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Sugarcane,2021,Kharif,Maharashtra,690.9679663370885,4759.002962352953,1971.8863660869154,123.12997938385533,30.408275566046434,37.2897592046732
Cotton,2021,Whole Year,Maharashtra,316.35902160415617,2047.226366480463,1072.4247486637023,481.88557465788614,93.83413482270335,72.81914243480132
Maize,2013,Kharif,Punjab,272.43365116134316,6515.162519828594,1662.851808348584,433.2116300077568,91.75690965417125,81.12339135475244
Cotton,2013,Whole Year,Karnataka,926.4151780078934,9446.339423927391,1013.8866242166978,438.70533033425147,80.3161582665123,36.61775511582965
Cotton,2014,Kharif,Andhra Pradesh,191.62331465458323,6955.999592244747,1441.5033157382131,233.04818685740236,11.746112105639389,54.60885287949224
Wheat,2017,Kharif,Uttar Pradesh,555.3621169614385,1691.2274348297938,788.0241271100551,393.06254616822775,39.43060916464919,47.900701399067344
Maize,2014,Kharif,Maharashtra,298.767504666708,4191.995844865745,719.0315289454438,114.74426992540107,66.5162861808617,46.94705059162851
Maize,2017,Kharif,Uttar Pradesh,135.0369669931007,5955.970414967664,1907.0962093521969,53.87855116630112,34.76711905961281,30.821384188013543
Maize,2019,Whole Year,Andhra Pradesh,132.41693646228376,4628.869805199271,1876.47091685665,58.987819660112656,91.86280255483996,22.273399452651255
Cotton,2010,Whole Year,Uttar Pradesh,257.6995948952446,8502.796094276551,1831.2034103193234,313.9707818320522,67.05005156491977,27.70197024080918
Sugarcane,2021,Rabi,Andhra Pradesh,880.0933190554002,8332.039042389903,1438.1501752498903,254.92770736157337,16.471604558480102,14.979914844701149
Maize,2019,Whole Year,Punjab,354.230869579324,6506.479180928993,1712.4023168244173,283.1069070088339,91.81050299521327,27.831766764121934
Cotton,2018,Kharif,Maharashtra,955.4132535177662,4361.121506194348,603.5554053670623,53.35841318774873,96.19899923586003,10.82808078628415
Wheat,2015,Rabi,Andhra Pradesh,623.4600636902742,3298.0273638691974,1002.1835628360187,240.20897884584156,16.994117655255295,66.45325605723804
